State,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
United States,79,80,81.4,82.3,83.2,84.1,84.6,85.3,85.8
Alabama,72,75,80,86.3,89.3,87.1,89.3,90,91.7
Alaska,68,70,71.8,71.1,75.6,76.1,78.2,78.5,80.4
Arizona,78,76,75.1,75.7,77.4,79.5,78,78.7,77.8
Arkansas,81,84,84.9,86.9,84.9,87,88,89.2,87.6
California,76,79,80.4,81,82,83,82.7,83,84.5
Colorado,74,75,76.9,77.3,77.3,78.9,79.1,80.8,81.1
Connecticut,83,85,85.5,87,87.2,87.4,87.9,88.4,88.5
Delaware,78,80,80.4,87,85.6,85.5,86.9,86.9,89
D.C.,59,59,62.3,61.4,68.5,69.2,73.2,68.5,68.9
Florida,71,75,75.6,76.1,77.9,80.7,82.3,86.3,87.2
Georgia,67,70,71.7,72.5,78.8,79.4,80.6,81.6,82
Hawaii,80,81,82.4,81.8,81.6,82.7,82.7,84.5,85.2
Idaho,,,,77.3,78.9,79.7,79.7,80.7,80.8
Illinois,84,82,83.2,86,85.6,85.5,87,86.5,86.2
Indiana,86,86,87,87.9,87.1,86.8,83.8,88.1,87.2
Iowa,88,89,89.7,90.5,90.8,91.3,91,91.4,91.6
Kansas,83,85,85.7,85.7,85.7,85.7,86.5,87.2,87.2
Kentucky,,,86.1,87.5,88,88.6,89.7,90.3,90.6
Louisiana,71,72,73.5,74.6,77.5,78.6,78.1,81.4,80.1
Maine,84,85,86.4,86.5,87.5,87,86.9,86.7,87.4
Maryland,83,84,85,86.4,87,87.6,87.7,87.1,86.9
Massachusetts,83,85,85,86.1,87.3,87.5,88.3,87.8,88
Michigan,74,76,77,78.6,79.8,79.7,80.2,80.6,81.4
Minnesota,77,78,79.8,81.2,81.9,82.2,82.7,83.2,83.7
Mississippi,75,75,75.5,77.6,80.8,82.3,83,84,85
Missouri,81,84,85.7,87.3,87.8,89,88.3,89.2,89.7
Montana,82,84,84.4,85.4,86,85.6,85.8,86.4,86.6
Nebraska,86,88,88.5,89.7,88.9,89.3,89.1,88.7,88.4
Nevada,62,63,70.7,70,71.3,73.6,80.9,83.2,84.1
New Hampshire,86,86,87.3,88.1,88.1,88.2,88.9,88.8,88.4
New Jersey,83,86,87.5,88.6,89.7,90.1,90.5,90.9,90.6
New Mexico,63,70,70.3,68.5,68.6,71,71.1,73.9,75.1
New York,77,77,76.8,77.8,79.2,80.4,81.8,82.3,82.8
North Carolina,78,80,82.5,83.9,85.6,85.9,86.6,86.3,86.5
North Dakota,86,87,87.5,87.2,86.6,87.5,87.2,88.1,88.3
Ohio,80,81,82.2,81.8,80.7,83.5,84.2,82.1,82
Oklahoma,,,84.8,82.7,82.5,81.6,82.6,81.8,84.9
Oregon,68,68,68.7,72,73.8,74.8,76.7,78.7,80
Pennsylvania,83,84,85.5,85.3,84.8,86.1,86.6,85.9,86.5
Rhode Island,77,77,79.7,80.8,83.2,82.8,84.1,84,83.9
South Carolina,74,75,77.6,80.1,80.3,82.6,83.6,81,81.1
South Dakota,83,83,82.7,82.7,83.9,83.9,83.7,84.1,84.1
Tennessee,86,87,86.3,87.2,87.9,88.5,89.8,90,90.5
Texas,86,88,88,88.3,89,89.1,89.7,90,90
Utah,76,80,83,83.9,84.8,85.2,86,87,87.4
Vermont,87,88,86.6,87.8,87.7,87.7,89.1,85.1,84.5
Virginia,82,83,84.5,85.3,85.7,86.7,86.9,87.5,87.5
Washington,76,77,76.4,78.2,78.2,79.7,79.4,86.7,81.1
West Virginia,78,79,81.4,84.5,86.5,89.8,89.4,90.2,91.3
Wisconsin,87,88,88,88.6,88.4,88.2,88.6,89.7,90.1
Wyoming,80,79,77,78.6,79.3,80,86.2,81.7,82.1